HIP,RA,Dec,pmRA,pmDec
41075,125.70879003,43.18813064,-25.62,-99.44
41307,126.41513455,-3.90642364,-66.05,-24.2
43023,131.50685182,-46.04152748,-12.23,4.82
43103,131.67425219,28.75989827,-20.69,-43.95
43109,131.6937942,6.41880927,-231.04,-40.17
45075,137.72942033,63.5136327,99.16,-60.96
45336,138.59107912,2.3142803,112.57,-306.07
45410,138.80771998,14.94150673,-39.61,-12.33
47431,144.96400779,-1.14281015,47.81,-62.92
47452,145.07651372,-14.33229221,-26.32,-19.25
49402,151.28112504,-13.06462598,-37.48,19.9
51585,158.04905741,14.13726962,-40.94,24.71
53417,163.90332353,24.74971832,-78.41,-14.89
55434,170.28414306,6.02932171,-91.76,-12.83
55642,170.9810513,10.52950862,140.75,-77.8
55687,171.15246271,-10.85932331,-24.14,24.46
57380,176.46482927,6.52937639,-19.65,-180.02
57632,177.26490656,14.57206032,-499.02,-113.78
59449,182.91296303,-52.36846029,-42.17,-18.39
59747,183.78631548,-58.74892785,-36.68,-10.72
59774,183.85650051,57.0326169,103.56,7.81
61622,189.42568082,-48.54130384,-186.61,-6.45
61740,189.81152882,-7.99556433,-77.3,-24.66
63494,195.14977993,-3.36848778,-19.39,49.42
63608,195.54415463,10.95915037,-275.05,19.96
65581,201.67986526,-12.70766416,-128.56,-21.22
67627,207.85808156,64.72327175,1.45,-4.55
67669,207.95666818,-32.99408951,-35.74,-30.14
67786,208.30224583,-31.92761234,-13.53,-10.74
67927,208.67116138,18.39771704,-60.95,-358.1
67929,208.67561164,-1.50312472,-85.06,-21.93
69673,213.9153001,19.1824103,-1093.45,-1999.4
69701,214.00362402,-6.00054666,-25.84,-419.84
69713,214.04137239,51.36723132,-149.98,89.42
69732,214.09591139,46.08830542,-187.42,159.01
69974,214.77746494,-13.37109491,-17.12,29.39
69996,214.85092485,-46.05809312,-12.81,-3.79
71681,219.89617026,-60.83715604,-3600.35,952.11
71795,220.2872992,13.72830024,52.36,-12.71
71860,220.48231508,-47.38820014,-21.15,-24.22
71865,220.48996231,-37.79349851,-29.56,-30.68
71957,220.76509742,-5.65820663,104.23,-319.9
72010,220.91433341,-35.17365526,-60.93,-176.82
73745,226.11142384,26.94764882,-176.31,-4.52
73807,226.27952355,-47.05124517,-23.39,-21.11
73945,226.65665094,-16.25681782,-36.41,-23.28
73996,226.82527458,24.86919552,184.81,-163.51
74087,227.09908784,26.30115255,1.14,-12.41
74117,227.2108967,-45.27985752,-17.32,-26.11
76041,232.94575727,40.8993325,-13.73,-14.92
76127,233.23242724,31.35913344,-19.62,-8.94
77853,238.45640848,-16.72929352,100.12,135.27
78072,239.11326153,15.66161688,311.2,-1282.17
78104,239.22115205,-29.21407322,-15.2,-25.1
